CXSMILES,Molecule Name,Set,pIC50_MERS_Mpro,pIC50_SARS2_Mpro,SMILES_CLEAN,OPENADMET_CANONICAL_SMILES
O=C(NCC1=CNC2=CC=C(F)C=C12)C1=CN=CC2=CC=CC=C12,ASAP-0000808,Train,3.42,4.72,O=C(NCC1=CNC2=CC=C(F)C=C12)C1=CN=CC2=CC=CC=C12,O=C(NCc1c[nH]c2ccc(F)cc12)c1cncc2ccccc12
CC(C)(NC(=O)C1=CN=CC2=CC=CC=C12)C1=CC=CC(C#N)=C1,ASAP-0000798,Train,4.3,4.23,CC(C)(NC(=O)C1=CN=CC2=CC=CC=C12)C1=CC=CC(C#N)=C1,CC(C)(NC(=O)c1cncc2ccccc12)c1cccc(C#N)c1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCN(CC2=CC=CC=C2)C[C@H]1C1CC1 |&1:25|,ASAP-0011484,Train,4.32,4.51,O=C(CC1=CN=CC2=CC=CC=C12)N1CCN(CC2=CC=CC=C2)C[C@H]1C1CC1,O=C(Cc1cncc2ccccc12)N1CCN(Cc2ccccc2)C[C@H]1C1CC1
"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CC=NC(C)=N2)C2=CC(Cl)=CC=C2C1=O |a:7,22|",ASAP-0014887,Train,6.76,7.5,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CC=NC(C)=N2)C2=CC(Cl)=CC=C2C1=O,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2ccnc(C)n2)c2cc(Cl)ccc2C1=O
NS(=O)(=O)OCC(=O)N1CCN(S(=O)(=O)C2=CSC=C2)[C@H](C(=O)NCC2=CC=CC=N2)C1 |&1:20|,ASAP-0000483,Train,3.87,4.09,NS(=O)(=O)OCC(=O)N1CCN(S(=O)(=O)C2=CSC=C2)[C@H](C(=O)NCC2=CC=CC=N2)C1,NS(=O)(=O)OCC(=O)N1CCN(S(=O)(=O)c2ccsc2)[C@H](C(=O)NCc2ccccn2)C1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCO[C@H](C2=CSC=C2)C1 |&1:17|,ASAP-0011269,Train,4.32,4.56,O=C(CC1=CN=CC2=CC=CC=C12)N1CCO[C@H](C2=CSC=C2)C1,O=C(Cc1cncc2ccccc12)N1CCO[C@H](c2ccsc2)C1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC(Cl)=CC(Cl)=C1 |&1:12|,ASAP-0000159,Train,5.31,7.16,O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC(Cl)=CC(Cl)=C1,O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCc1cc(Cl)cc(Cl)c1
CN1N=C(C2=CC=C(C(F)(F)F)C=C2)N=C2C1=NC(=O)N(C)C2=O,ASAP-0013629,Train,6.9,,CN1N=C(C2=CC=C(C(F)(F)F)C=C2)N=C2C1=NC(=O)N(C)C2=O,Cn1nc(-c2ccc(C(F)(F)F)cc2)nc2c(=O)n(C)c(=O)nc1-2
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@@H]1CCC1=CC=CC=N1,ASAP-0011302,Train,4.29,,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@@H]1CCC1=CC=CC=N1,O=C(Cc1cncc2ccccc12)N1CCC[C@@H]1CCc1ccccn1
O=C(C[C@H]1CCCC(F)(F)C1)NC1=CN=CC2=CC=CC=C12 |&1:3|,ASAP-0000641,Train,4.74,5.23,O=C(C[C@H]1CCCC(F)(F)C1)NC1=CN=CC2=CC=CC=C12,O=C(C[C@H]1CCCC(F)(F)C1)Nc1cncc2ccccc12
O=C(NCCC1=CNC2=NC=C(F)C=C12)C1=CN=CC2=CC=CC=C12,ASAP-0000795,Train,3.85,4.42,O=C(NCCC1=CNC2=NC=C(F)C=C12)C1=CN=CC2=CC=CC=C12,O=C(NCCc1c[nH]c2ncc(F)cc12)c1cncc2ccccc12
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C3CC3)=CC=C2C1=O |o1:3|,ASAP-0008402,Train,4.31,4.09,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C3CC3)=CC=C2C1=O,CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(C3CC3)ccc2C1=O
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](COC2=CC=CC=C2)C1 |&1:16|,ASAP-0011151,Train,4.28,4.1,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](COC2=CC=CC=C2)C1,O=C(Cc1cncc2ccccc12)N1CC[C@H](COc2ccccc2)C1
CC1=NN(C2=CC=C(Cl)C=C2)C(NC(=O)C2=CN=CC3=CC=CC=C23)=C1C,ASAP-0000816,Train,7.88,,CC1=NN(C2=CC=C(Cl)C=C2)C(NC(=O)C2=CN=CC3=CC=CC=C23)=C1C,Cc1nn(-c2ccc(Cl)cc2)c(NC(=O)c2cncc3ccccc23)c1C
CC1(O)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,ASAP-0031241,Train,4.38,4.62,CC1(O)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,CC1(O)CCN(C(=O)Cc2cncc3ccccc23)CC1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCSC[C@H]1C1=CC=CC=C1 |&1:18|,ASAP-0011443,Train,4.63,4.94,O=C(CC1=CN=CC2=CC=CC=C12)N1CCSC[C@H]1C1=CC=CC=C1,O=C(Cc1cncc2ccccc12)N1CCSC[C@H]1c1ccccc1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=CC=N1 |&1:17|,ASAP-0011298,Train,4.03,4.11,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=CC=N1,O=C(Cc1cncc2ccccc12)N1CCC[C@H]1Cc1ccccn1
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=CC=C1 |&1:6|,ASAP-0008466,Train,4.77,7.1,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=CC=C1,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)Nc1ccccc1
"CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:2,4|",ASAP-0030922,Train,5.87,5.92,CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12,CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)Cc1cncc2ccccc12
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2C=CC=N2)C1 |&1:17|,ASAP-0011276,Train,4.35,4.2,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2C=CC=N2)C1,O=C(Cc1cncc2ccccc12)N1CCC[C@H](n2cccn2)C1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=NC=CS2)C1 |&1:16|,ASAP-0011404,Train,4.3,4.29,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=NC=CS2)C1,O=C(Cc1cncc2ccccc12)N1CC[C@H](c2nccs2)C1
N#CC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,ASAP-0031195,Train,4.01,4.74,N#CC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,N#CC1CCN(C(=O)Cc2cncc3ccccc23)CC1
CNC(=O)[C@@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:8|,ASAP-0008665,Train,5.96,7.43,CNC(=O)[C@@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O,CNC(=O)[C@@H](C)N1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2COC[C@H]1C2 |&1:16,&2:20|",ASAP-0031239,Train,4.07,4.14,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2COC[C@H]1C2,O=C(Cc1cncc2ccccc12)N1CC[C@H]2COC[C@H]1C2
C[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |o1:1|,ASAP-0030718,Train,5.13,5.55,C[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,C[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)CC1
C=C(CN1CCC2=C(C=C(Cl)C=C2)C1C(=O)NC1=CN=CC2=CC=CC=C12)C(=O)O,ASAP-0000145,Train,4.81,5.62,C=C(CN1CCC2=C(C=C(Cl)C=C2)C1C(=O)NC1=CN=CC2=CC=CC=C12)C(=O)O,C=C(CN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12)C(=O)O
CC(=O)N1C[C@@H]2C[C@H]1[C@H]1C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N21 |o1:8|,ASAP-0000379,Train,4.02,,CC(=O)N1C[C@@H]2C[C@H]1[C@H]1C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N21,CC(=O)N1C[C@@H]2C[C@H]1[C@H]1C(=O)N(c3cncc4ccccc34)C(=O)N21
CC1=CSC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=N1 |&1:5|,ASAP-0011382,Train,4.97,4.32,CC1=CSC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=N1,Cc1csc([C@H]2CCCN2C(=O)Cc2cncc3ccccc23)n1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](C2=CC=CS2)C1 |&1:21|,ASAP-0011222,Train,3.7,4.56,O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](C2=CC=CS2)C1,O=C(Cc1cncc2ccccc12)N1Cc2ccccc2[C@H](c2cccs2)C1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1CC1 |&1:17|,ASAP-0011254,Train,4.6,4.88,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1CC1,O=C(Cc1cncc2ccccc12)N1CCC[C@H]1CC1CC1
CC1=NN(C)C(CN(C)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,ASAP-0008381,Train,4.18,,CC1=NN(C)C(CN(C)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,Cc1cc(CN(C)C(=O)Cc2cncc3ccccc23)n(C)n1
"C[C@H]1OCCC[C@]12NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O |&1:1,&2:6|",ASAP-0000378,Train,4.3,4.02,C[C@H]1OCCC[C@]12NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O,C[C@H]1OCCC[C@]12NC(=O)N(c1cncc3ccccc13)C2=O
"COC1=CC=CC([C@H](C)[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:7,&2:9|",ASAP-0029819,Train,,4.79,COC1=CC=CC([C@H](C)[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1,COc1cccc([C@H](C)[C@H]2CCN(C(=O)Cc3cncc4ccccc34)C2)c1
"C[C@H]1C[C@H](C2=CC=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|",ASAP-0029861,Train,,5.11,C[C@H]1C[C@H](C2=CC=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12,C[C@H]1C[C@H](c2cccs2)CN1C(=O)Cc1cncc2ccccc12
"CCO[C@H]1C[C@H](C)N(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H](C)C1 |&1:3,&2:5,&3:21|",ASAP-0029411,Train,,4.57,CCO[C@H]1C[C@H](C)N(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H](C)C1,CCO[C@@H]1C[C@@H](C)N(C(=O)Cc2cncc3ccccc23)[C@@H](C)C1
N#CC1=CC=CC(NC(=O)CC2=CN=CC3=CC=CC=C23)=C1,ASAP-0008625,Train,4.25,4.5,N#CC1=CC=CC(NC(=O)CC2=CN=CC3=CC=CC=C23)=C1,N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1
CN(C)CCN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,ASAP-0008635,Train,4.21,4.67,CN(C)CCN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,CN(C)CCN(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12
CC1=CSC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:5|,ASAP-0011390,Train,4.25,4.19,CC1=CSC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1,Cc1csc([C@H]2CCCN(C(=O)Cc3cncc4ccccc34)C2)n1
C=CC(=O)NC1=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=CC=C1,ASAP-0000173,Train,5.18,5.16,C=CC(=O)NC1=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=CC=C1,C=CC(=O)Nc1ccccc1N(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CC=NC=C2)CC1 |&1:17|,ASAP-0008611,Train,4.25,,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CC=NC=C2)CC1,O=C(Cc1cncc2ccccc12)N1CCC[C@H](c2ccncc2)CC1
CNC(=O)C1=CC=C2C(=O)N(C)C[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2=C1 |o1:13|,ASAP-0008472,Train,4.28,,CNC(=O)C1=CC=C2C(=O)N(C)C[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2=C1,CNC(=O)c1ccc2c(c1)[C@@H](C(=O)Nc1cncc3ccccc13)CN(C)C2=O
C=C(CN(C)C1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1)C(=O)NC1=CC=CC=C1,ASAP-0013713,Train,4.84,4.46,C=C(CN(C)C1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1)C(=O)NC1=CC=CC=C1,C=C(CN(C)c1cccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)c1)C(=O)Nc1ccccc1
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1CC1)C(=O)C1=CC=C(Cl)C=C12,ASAP-0011141,Train,6.16,7.23,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1CC1)C(=O)C1=CC=C(Cl)C=C12,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC(=O)NCC1CC1)C(=O)c1ccc(Cl)cc12
C=CC(=O)NC1=CC=CC(N(CC2=CC(Cl)=CC=C2Cl)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,ASAP-0011043,Train,5.05,4.79,C=CC(=O)NC1=CC=CC(N(CC2=CC(Cl)=CC=C2Cl)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,C=CC(=O)Nc1cccc(N(Cc2cc(Cl)ccc2Cl)C(=O)Cc2cncc3ccccc23)c1
CC1(C)CN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]1C1=CC=CS1 |&1:18|,ASAP-0011533,Train,4.6,4.86,CC1(C)CN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]1C1=CC=CS1,CC1(C)CN(C(=O)Cc2cncc3ccccc23)[C@H]1c1cccs1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@](F)(C2=CC=CC=C2)C1 |&1:16|,ASAP-0011515,Train,4.4,4.73,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@](F)(C2=CC=CC=C2)C1,O=C(Cc1cncc2ccccc12)N1CC[C@](F)(c2ccccc2)C1
NC(=O)C1(NC(=O)C2=CN=CC3=CC=CC=C23)CC2=CC=CC=C2C1,ASAP-0000820,Train,4.25,,NC(=O)C1(NC(=O)C2=CN=CC3=CC=CC=C23)CC2=CC=CC=C2C1,NC(=O)C1(NC(=O)c2cncc3ccccc23)Cc2ccccc2C1
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)C1=CC=CC=N1,ASAP-0008488,Train,5.55,5.88,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)C1=CC=CC=N1,O=C(Cc1cncc2ccccc12)N(Cc1cccc(Cl)c1)c1ccccn1
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(Br)C=C1C,ASAP-0011676,Train,,6.84,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(Br)C=C1C,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)NCc1ccc(Br)cc1C
CO[C@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:7|,ASAP-0010714,Train,5.4,6.44,CO[C@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O,CO[C@H](C)CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O
CC(C)NC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O,ASAP-0011140,Train,5.44,6.53,CC(C)NC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O,CC(C)NC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(Cl)ccc2C1=O
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2C)C2=CC(Cl)=CC=C2C1=O,ASAP-0000240,Train,4.23,5.62,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2C)C2=CC(Cl)=CC=C2C1=O,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@H]2C)c2cc(Cl)ccc2C1=O
COC(C)(C)C1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,ASAP-0029742,Train,,5.08,COC(C)(C)C1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,COC(C)(C)C1CCN(C(=O)Cc2cncc3ccccc23)CC1
"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C(F)(F)F)C1 |&1:1,18|",ASAP-0029582,Train,5.18,5.43,C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C(F)(F)F)C1,C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)[C@@H](C(F)(F)F)C1
"CCC1=CC=C([C@H]2C[C@H](C)CCN2C(=O)CC2=CN=CC3=CC=CC=C23)O1 |&1:6,8|",ASAP-0029903,Train,6.01,6.27,CCC1=CC=C([C@H]2C[C@H](C)CCN2C(=O)CC2=CN=CC3=CC=CC=C23)O1,CCc1ccc([C@H]2C[C@H](C)CCN2C(=O)Cc2cncc3ccccc23)o1
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CCOCC1 |&1:6|,ASAP-0008499,Train,5.59,5.25,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CCOCC1,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)N1CCOCC1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2OCC12CC2,ASAP-0008365,Train,4.68,4.45,O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2OCC12CC2,O=C(Cc1cncc2ccccc12)N1Cc2ccccc2OCC12CC2
O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC(F)=C2OC2=CC=CC=C21,ASAP-0011135,Train,4.61,5.26,O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC(F)=C2OC2=CC=CC=C21,O=C(Cc1cncc2ccccc12)N1Cc2cccc(F)c2Oc2ccccc21
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=C(C(F)F)C=C1 |&1:12|,ASAP-0000211,Train,5.99,7.3,O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=C(C(F)F)C=C1,O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCCc1ccc(C(F)F)cc1
C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CCC12COC2 |&1:1|,ASAP-0031151,Train,4.29,4.03,C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CCC12COC2,C[C@H]1CN(C(=O)Cc2cncc3ccccc23)CCC12COC2
CN1C[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:3|,ASAP-0008412,Train,4.28,,CN1C[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O,CN1C[C@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=CS2)CC1,ASAP-0011336,Train,4.49,4.86,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=CS2)CC1,O=C(Cc1cncc2ccccc12)N1CCC(c2cccs2)CC1
O=C(NCCC1=CNC2=CN=CC=C12)C1=CN=CC2=CC=CC=C12,ASAP-0000862,Train,3.92,,O=C(NCCC1=CNC2=CN=CC=C12)C1=CN=CC2=CC=CC=C12,O=C(NCCc1c[nH]c2cnccc12)c1cncc2ccccc12
C=CC[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1 |&1:3|,ASAP-0027823,Train,4.54,4.11,C=CC[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1,C=CC[C@H](Nc1cccc(-c2nn[nH]n2)c1)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1
"C[C@H]1COC[C@@]2(C1)NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O |&1:1,5|",ASAP-0000442,Train,4.28,4.24,C[C@H]1COC[C@@]2(C1)NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O,C[C@H]1COC[C@@]2(C1)NC(=O)N(c1cncc3ccccc13)C2=O
C=C(CN(C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC(Cl)=C1)C(N)=O,ASAP-0000520,Train,4.39,5.19,C=C(CN(C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC(Cl)=C1)C(N)=O,C=C(CN(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)C(N)=O
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC(F)=CC=C1F)C1CCCC1,ASAP-0008634,Train,5.14,5.95,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC(F)=CC=C1F)C1CCCC1,O=C(Cc1cncc2ccccc12)N(Cc1cc(F)ccc1F)C1CCCC1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(F)(C2=CC=CC=C2)CC1,ASAP-0011308,Train,3.84,4.63,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(F)(C2=CC=CC=C2)CC1,O=C(Cc1cncc2ccccc12)N1CCC(F)(c2ccccc2)CC1
CC1=CC=NC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:6|,ASAP-0011322,Train,4.28,4.06,CC1=CC=NC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1,Cc1ccnc([C@H]2CCN(C(=O)Cc3cncc4ccccc34)C2)c1
"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1CNC1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=CS1 |a:9,31|",ASAP-0028932,Train,6.58,7.56,O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1CNC1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=CS1,O=C1c2ccc(Cl)cc2[C@@]2(CN1CC1CNC1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1nncs1
CC(C)CCN(CC1=CC=CC=C1)C(=O)CC1=CN=CC2=CC=CC=C12,ASAP-0008606,Train,5.24,5.13,CC(C)CCN(CC1=CC=CC=C1)C(=O)CC1=CN=CC2=CC=CC=C12,CC(C)CCN(Cc1ccccc1)C(=O)Cc1cncc2ccccc12
NS(=O)(=O)C1=CC=C2OCC[C@]3(NC(=O)N(C4=CN=CC5=CC=CC=C45)C3=O)C2=C1 |&1:11|,ASAP-0000441,Train,4.28,4.65,NS(=O)(=O)C1=CC=C2OCC[C@]3(NC(=O)N(C4=CN=CC5=CC=CC=C45)C3=O)C2=C1,NS(=O)(=O)c1ccc2c(c1)[C@]1(CCO2)NC(=O)N(c2cncc3ccccc23)C1=O
CN(CC1=CC=CC(C#N)=C1)C(=O)C1=CN=CC2=CC=CC=C12,ASAP-0000861,Train,4.18,,CN(CC1=CC=CC(C#N)=C1)C(=O)C1=CN=CC2=CC=CC=C12,CN(Cc1cccc(C#N)c1)C(=O)c1cncc2ccccc12
N=C(N)NC1=CC=C(OC(=O)NC2=CC=CC=C2)C=C1,ASAP-0008427,Train,4.49,5.68,N=C(N)NC1=CC=C(OC(=O)NC2=CC=CC=C2)C=C1,N=C(N)Nc1ccc(OC(=O)Nc2ccccc2)cc1
CC[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC(F)=C(F)C(F)=C1 |&1:2|,ASAP-0000725,Train,4.53,6.11,CC[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC(F)=C(F)C(F)=C1,CC[C@H](C(=O)Nc1cncc2ccccc12)c1cc(F)c(F)c(F)c1
